D-14,D-13,D-12,D-11,D-10,D-9,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D-1,Dday,marketAverage,fluctuation,amount,label
0.29,-6.14,-2.13,0.93,2.93,-2.69,0.62,1.22,17.98,6.66,1.32,5.33,4.05,-7.68,4.22,0.93,1,3,-15.617977528089888
0.18,-0.36,0.0,1.62,-3.72,-0.74,1.48,0.0,5.3,0.0,2.08,-1.02,0.17,-1.72,-1.05,1.07,1,3,47.4426807760141
3.43,0.36,-2.95,0.97,4.82,1.49,-5.66,0.6,3.22,4.05,-0.67,-4.14,-1.75,0.83,-4.83,-2.6,1,3,9.034653465346532
2.35,-2.15,1.9,4.89,2.19,0.0,0.0,0.27,-0.8,1.48,-1.59,0.13,-0.94,-0.14,-0.82,1.81,1,3,-13.186813186813184
-3.86,1.11,3.15,2.66,1.42,14.8,1.56,5.36,-4.47,2.72,-7.3,13.7,-4.42,1.05,-0.21,-0.01,1,3,16.666666666666675
2.65,1.51,1.8,3.13,0.1,9.38,-6.27,3.94,0.76,8.08,1.39,-2.57,-6.16,5.07,-0.54,-0.91,1,3,-18.043087971274684
-0.36,0.0,0.49,-0.12,-1.81,-1.48,0.13,-0.12,0.5,2.36,-2.92,-3.63,-0.52,-3.66,1.08,1.87,3,3,2.9490616621983934
-2.16,4.07,-1.48,3.01,1.98,5.32,17.48,6.2,1.95,-1.15,8.88,-4.26,0.37,-4.43,1.54,0.89,3,3,-5.703422053231943
-1.14,6.7,-16.67,-5.45,-4.12,0.0,-3.72,29.76,-0.46,-7.88,1.05,4.46,-1.66,-3.66,0.8,0.29,3,3,14.888337468982638
0.77,0.51,-2.41,-1.82,1.32,1.7,0.64,-0.51,3.34,1.24,2.33,-3.36,-0.62,-1.0,-0.38,-0.2,3,3,-3.164556962025311
-29.87,-29.41,-5.0,6.32,-0.33,2.65,0.32,5.14,-0.31,-0.61,1.23,-3.05,0.31,-1.57,0.32,1.09,3,3,-11.047619047619051
0.0,-1.42,0.48,-3.83,0.0,1.0,-0.49,-1.29,-2.81,0.0,7.84,0.0,0.0,-0.96,-2.9,-0.31,3,3,-18.009950248756223
-0.18,-1.62,0.18,-0.55,-1.83,-3.17,-2.12,0.0,0.39,-1.96,-1.6,-4.47,2.98,0.0,4.96,0.93,1,3,5.7086614173228245
0.13,0.91,1.03,-0.51,-0.9,-1.94,2.9,-3.08,-5.69,0.84,-0.7,-0.28,-4.35,0.15,-5.72,-2.74,1,3,16.01866251944013
-1.42,-0.6,8.9,-0.11,-3.32,2.97,-1.11,1.35,-1.66,-0.68,0.91,-0.56,0.68,-0.22,0.23,-0.88,1,3,-8.202247191011235
-0.91,0.55,-0.73,0.0,-0.55,0.0,-0.37,0.19,0.37,-0.56,-1.12,-0.19,0.38,1.5,0.37,-1.7,1,3,-7.19557195571956
3.14,0.51,-1.85,-1.54,-0.17,-3.48,0.72,-0.18,-1.62,0.18,-0.55,-1.83,-3.17,-2.12,0.0,-0.31,1,3,0.5905511811023612
-1.17,1.38,-0.19,-1.76,0.2,0.0,-1.59,-3.43,-6.05,1.56,-1.53,14.89,-4.06,-0.2,-1.21,1.2,1,3,20.24539877300613
3.81,8.98,-1.36,-5.71,0.49,-1.45,-1.8,-3.67,-3.98,0.84,0.54,-3.14,2.94,1.49,0.7,0.01,2,3,-12.32558139534884
0.74,-0.36,0.37,5.47,0.69,-1.37,1.39,-1.37,-2.09,0.0,0.36,4.96,-0.68,-0.68,3.08,1.57,2,3,9.63455149501662
-0.78,-1.83,-2.13,2.45,2.39,1.81,-3.82,-3.97,-3.03,0.0,2.56,2.49,-5.14,3.7,0.27,0.74,2,3,-16.43835616438356
-9.28,3.69,-0.55,4.68,2.63,-2.56,-2.63,-1.35,3.01,-0.27,1.87,9.69,3.82,-0.46,10.85,-0.83,2,3,-12.083333333333336
0.36,4.96,-0.68,-0.68,3.08,-2.66,-0.68,4.12,-3.3,-2.73,2.46,1.37,4.05,0.0,0.0,0.02,2,3,12.012987012987008
5.04,-3.64,5.5,4.23,-0.47,1.57,-3.25,-4.15,-2.5,-0.17,3.77,-3.47,-1.54,0.17,-1.73,-0.21,2,3,-9.34744268077602
0.0,0.28,-0.84,0.0,-1.13,-4.86,-5.56,3.98,1.99,1.5,0.89,0.15,-0.44,1.91,1.15,-0.64,1,3,1.9971469329529201
-0.13,0.38,-3.12,-1.55,0.92,1.17,-0.9,-1.42,-2.36,3.63,-0.52,-2.22,-2.53,0.96,0.95,1.03,1,3,-8.456375838926178
-0.18,1.78,0.35,-1.22,-0.35,0.0,0.18,0.35,1.23,-0.17,0.35,-1.04,-0.7,-0.18,0.0,-0.72,1,3,-3.8938053097345104
0.17,-1.52,-1.03,0.35,-0.86,-1.39,0.88,1.57,-0.17,1.55,7.98,-2.83,-0.97,1.8,-0.32,1.15,1,3,-4.99194847020934
0.79,-0.47,0.48,1.1,0.0,0.0,6.4,1.17,-0.14,1.45,-2.86,-0.74,-0.89,-4.49,-1.41,-0.26,1,3,-12.24165341812401
0.0,6.4,1.17,-0.14,1.45,-2.86,-0.74,-0.89,-4.49,-1.41,12.72,4.37,-7.03,-3.92,2.12,2.74,1,3,-9.629629629629633
-0.36,-0.72,-4.38,0.76,-0.38,-2.28,0.78,0.39,1.54,0.38,-2.26,1.93,0.38,-1.13,-3.82,-1.13,1,3,-17.85714285714286
-0.9,0.45,-5.43,2.87,3.72,0.45,0.0,2.23,-1.75,-0.44,-4.46,0.0,0.47,-1.86,0.0,1.13,1,3,9.478672985782
6.58,1.07,-0.18,-0.27,-2.13,0.09,-0.64,1.83,1.97,-0.09,-0.97,2.58,-2.69,0.0,0.09,-0.82,1,3,18.149466192170816
2.01,-0.39,-0.4,-1.59,-0.81,0.41,-5.26,-0.43,1.29,-1.27,-2.15,-1.32,1.33,0.0,0.0,-1.57,1,3,5.263157894736836
8.15,0.58,0.0,5.19,-1.92,-0.56,-3.37,0.58,-0.87,-4.08,0.3,2.73,0.0,-2.06,0.3,0.65,1,3,-14.714714714714717
-0.35,-0.44,-2.28,0.45,-6.17,2.0,1.03,5.45,0.26,0.09,-2.01,0.0,0.27,-2.04,-0.82,1.07,1,3,2.9277218664226945
1.94,-0.52,-2.09,-5.15,-7.87,1.42,-4.21,0.21,-1.04,3.8,-2.85,3.77,-2.02,-8.64,-0.23,0.47,2,3,3.8374717832957206
1.91,-1.29,-2.19,-4.92,0.0,-6.74,-3.36,5.39,-1.65,-4.7,29.93,0.41,2.7,-1.18,6.91,0.89,2,3,18.407960199004968
4.56,29.96,-9.92,0.51,10.62,0.61,-15.45,7.35,6.84,3.59,-4.07,17.92,-3.87,-2.36,0.85,-0.28,2,3,-7.042253521126762
-3.39,2.11,-2.75,1.89,0.0,2.08,-0.45,1.37,2.02,-0.44,-3.32,-0.23,-0.69,-0.46,2.32,0.11,2,3,0.22675736961450532
2.44,-4.9,-5.0,6.91,1.54,-4.85,-6.37,-0.51,0.85,-4.24,-4.42,-2.96,15.65,-7.76,11.09,1.42,2,3,-5.31400966183575
0.15,1.32,0.58,4.03,8.73,0.64,3.92,1.46,-0.12,-3.37,1.0,2.34,1.93,-7.08,-4.7,-0.67,2,3,-20.266666666666666
